,star_s,star_b,cross_point_x,cross_point_y,TBL_S,TBL_B,vel_mod_s,vel_mod_b,angle,parallax_s,parallax_err_s,parallax_b,parallax_err_b,ruwe_s,ruwe_b,star_score,star_score_ID
2717,270,736,-0.0043857449766221,0.0018822376642966,156415.72783221703,143453.06552641452,3.448503975955067,2.547614330304321,1.8929416378671444,2.53,0.09967998,2.55,0.03624226,0.8655134,1.0308089,2.725217551499578,736.0
1787,180,736,-0.0045958495579189,0.0011318297477929,152288.65745871654,171690.9901789741,3.566340539904609,2.547614330304321,1.995898820824841,1.98,0.26757085,2.55,0.03624226,1.8589327,1.0308089,2.725217551499578,736.0
2205,214,1212,-0.0025989254685041,-0.006098123315756,196999.90770352783,214670.686765467,3.672536934339506,4.399345721703416,1.7889563512457831,1.02,0.040975425,2.58,0.019250007,1.1653367,0.9652983,2.724931257553862,214.0
2100,214,249,-0.0044334729300722,-0.0047723876532416,253896.00470063704,214591.6617611458,3.672536934339506,3.89891228256873,1.87988360871475,1.02,0.040975425,3.16,0.16440958,1.1653367,5.1470537,2.724931257553862,214.0
2103,214,279,-0.0009159908991159,-0.0073142959267437,144805.8868315593,167244.31136595272,3.672536934339506,3.759962937981216,1.763965125468117,1.02,0.040975425,2.56,0.03208951,1.1653367,1.1845266,2.724931257553862,214.0
2200,214,1160,-0.0082841386155881,-0.0019897042227757,373319.37909471744,367436.1213537008,3.672536934339506,3.754316347163824,1.563959212803827,1.02,0.040975425,2.43,0.066997565,1.1653367,4.076668,2.724931257553862,214.0
2123,214,455,-0.0019350509548828,-0.0065778722110993,176410.7054549119,161246.04133862298,3.672536934339506,5.01630923062636,1.922881393032574,1.02,0.040975425,2.74,0.33650127,1.1653367,0.989962,2.724931257553862,214.0
2198,214,1145,-0.0053278920876399,-0.0041260356785644,281635.24841665884,238595.06806285583,3.672536934339506,5.302328511246063,1.653205685736332,1.02,0.040975425,2.93,0.19933927,1.1653367,12.901563,2.724931257553862,214.0
2194,214,1121,-0.0071659902182341,-0.0027977341251956,338641.4647830113,374616.700921156,3.672536934339506,4.071863598041349,1.710840902636214,1.02,0.040975425,2.58,0.021756392,1.1653367,1.1312249,2.724931257553862,214.0
2129,214,492,-0.0013387199194621,-0.0070088108141516,157916.27609592554,147598.99031482366,3.672536934339506,4.181821122869716,1.9963548944050968,1.02,0.040975425,2.51,0.05064803,1.1653367,1.2842568,2.724931257553862,214.0
